"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE SUPER D1","pilhado-disp-traf-sb-d1","R$ 1.375,72","12,07","956,00","597,00","R$ 124,28","1,57%","0,73%","R$ 8,29","R$ 17,75","15,00","7,00","3,00","R$ 1.500,00","46,67%","42,86%"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 2.379,88","20,81","924,00","490,00","R$ 120,12","1,95%","0,65%","R$ 6,67","R$ 20,02","18,00","6,00","5,00","R$ 2.500,00","33,33%","83,33%"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE BETE D1","pilhado-disp-traf-bete-d1","R$ 824,37","5,69","1.351,00","675,00","R$ 175,63","1,70%","0,74%","R$ 7,64","R$ 17,56","23,00","10,00","2,00","R$ 1.000,00","43,48%","20,00%"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE VAIDEBET D1","pilhado-disp-traf-vaidebet-d1","R$ -47,19","0,00","363,00","129,00","R$ 47,19","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"10/07","SuperBet","DISP TOTAL SEM RISCO SUPER","pilhado-disp-total-sem-risco-15k","R$ -9.794,51","0,69","240.727,00","108.959,00","R$ 31.294,51","0,22%","0,07%","R$ 59,38","R$ 190,82","527,00","164,00","43,00","R$ 21.500,00","31,12%","26,22%"
"10/07","SuperBet","[09/07] DISP TOTAL 10/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 1.321,38","8,40","1.374,00","813,00","R$ 178,62","0,66%","0,22%","R$ 19,85","R$ 59,54","9,00","3,00","3,00","R$ 1.500,00","33,33%","100,00%"
"10/07","SuperBet","[09/07] DISP TOTAL 10/07 BASE VAIDEBET D1","pilhado-disp-traf-vaidebet-d1","R$ -177,06","0,00","1.362,00","784,00","R$ 177,06","1,03%","0,29%","R$ 12,65","R$ 44,27","14,00","4,00","0,00","R$ 0,00","28,57%","0,00%"
"10/07","SuperBet","[09/07] DISP TOTAL 10/07 BASE BETE D1","pilhado-disp-traf-bete-d1","R$ 362,46","3,64","1.058,00","592,00","R$ 137,54","0,76%","0,19%","R$ 17,19","R$ 68,77","8,00","2,00","1,00","R$ 500,00","25,00%","50,00%"
"10/07","MGMBET","[09/07] DISP TOTAL 10/07 BASE SB D3","13398","R$ 333,58","2,79","1.434,00","847,00","R$ 186,42","2,16%","0,56%","R$ 6,01","R$ 23,30","31,00","8,00","2,00","R$ 520,00","25,81%","25,00%"
"10/07","MGMBET","[09/07] DISP TOTAL 10/07 BASE MGM D3","13538","R$ 79,17","1,44","1.391,00","712,00","R$ 180,83","0,94%","0,50%","R$ 13,91","R$ 25,83","13,00","7,00","1,00","R$ 260,00","53,85%","14,29%"
