"DATA","CASA","PROMOÇÃO/OBJETIVO","ENTREGUES","CUSTO"
"17/07","SuperBet","	[16/07] DISP TOTAL 17/07 BASE SB D5","944,00","R$ 122,72"
"17/07","SuperBet","	[16/07] DISP TOTAL 17/07 BASE MGM D5","789,00","R$ 102,57"
"18/07","SuperBet","	[17/07] DISP TOTAL 18/07 BASE SB D1","682,00","R$ 88,66"
"18/07","SuperBet"," 	[17/07] DISP TOTAL 18/07 BASE MGM D1","55,00","R$ 7,15"
"18/07","SuperBet"," [17/07] DISP TOTAL 18/07 BASE BETE D1","228,00","R$ 29,64"
"18/07","MGMBET"," [17/07] DISP TOTAL 18/07 BASE SB D3","157,00","R$ 20,41"
"18/07","SuperBet"," [17/07] DISP TOTAL 18/07 BASE SB D5","694,00","R$ 90,22"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE SB D1","602,00","R$ 78,26"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE MGM D1","225,00","R$ 29,25"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE BETE D1","240,00","R$ 31,20"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE OURO D1","1.053,00","R$ 136,89"
"19/07","MGMBET","[18/07] DISP TOTAL 19/07 BASE SB D3","184,00","R$ 23,92"
"19/07","MGMBET","[18/07] DISP TOTAL 19/07 BASE MGM D3","55,00","R$ 7,15"
"19/07","NoviBet","[18/07] DISP TOTAL 19/07 FINAL COPA 1","173.233,00","R$ 22.520,29"
"19/07","NoviBet","[18/07] DISP TOTAL 19/07 FINAL COPA 2","173.435,00","R$ 22.546,55"
"20/07","SuperBet"," 	[19/07] DISP TOTAL 20/07 BASE SB D1","1.344,00","R$ 174,72"
"20/07","SuperBet"," [19/07] DISP TOTAL 20/07 BASE MGM D1","230,00","R$ 29,90"
"20/07","SuperBet"," 	[19/07] DISP TOTAL 20/07 BASE BETE D1","2.166,00","R$ 281,58"
"20/07","SuperBet"," [19/07] DISP TOTAL 20/07 BASE NOVIBET D1","14.786,00","R$ 1.922,18"
"20/07","MGMBET"," 	[19/07] DISP TOTAL 20/07 BASE SB D3","612,00","R$ 79,56"
"20/07","MGMBET"," [19/07] DISP TOTAL 20/07 BASE MGM D3","48,00","R$ 6,24"
"20/07","MGMBET"," 	[19/07] DISP TOTAL 20/07 BASE BETE D3","208,00","R$ 27,04"
"21/07","SuperBet"," 	[20/07] DISP TOTAL 21/07 BASE SB D1","436,00","R$ 56,68"
"21/07","MGMBET"," 	[20/07] DISP TOTAL 21/07 BASE SB D3","598,00","R$ 77,74"
"21/07","MGMBET"," 	[20/07] DISP TOTAL 21/07 BASE MGM D3 ","215,00","R$ 27,95"
"21/07","MGMBET"," 	[20/07] DISP TOTAL 21/07 BASE BETE D3 ","235,00","R$ 30,55"
"21/07","MGMBET","	[20/07] DISP TOTAL 21/07 BASE OURO D3 ","1.033,00","R$ 134,29"
"21/07","SuperBet","	[20/07] DISP TOTAL 21/07 BASE SB D5 ","182,00","R$ 23,66"
"21/07","SuperBet"," 	[20/07] DISP TOTAL 21/07 BASE MGM D5","61,00","R$ 7,93"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE SB D1","490,00","R$ 63,70"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE MGM D1","104,00","R$ 13,52"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE SB D3","1.230,00","R$ 159,90"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE MGM D3","209,00","R$ 27,17"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE BETE D3","1.958,00","R$ 254,54"
"22/07","MGMBET"," [21/07] DISP TOTAL 22/07 BASE NOVIBET D3","13.761,00","R$ 1.788,93"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE SB D5","588,00","R$ 76,44"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE MGM D5","47,00","R$ 6,11"
"22/07","SuperBet"," [21/07] DISP TOTAL 22/07 BASE BETE D5","196,00","R$ 25,48"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE SB D1","155,00","R$ 20,15"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE MGM D1","134,00","R$ 17,42"
"23/07","MGMBET"," [22/07] DISP TOTAL 23/07 BASE SB D3","407,00","R$ 52,91"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE SB D5","566,00","R$ 73,58"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE MGM D5","200,00","R$ 26,00"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE BETE D5","232,00","R$ 30,16"
"23/07","SuperBet"," [22/07] DISP TOTAL 23/07 BASE OURO D5","955,00","R$ 124,15"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE SB D1","127,00","R$ 16,51"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE MGM D1","136,00","R$ 17,68"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE VAIDEBET D1","366,00","R$ 47,58"
"25/07","MGMBET"," [24/07] DISP TOTAL 25/07 BASE SB D3","459,00","R$ 59,67"
"25/07","MGMBET"," [24/07] DISP TOTAL 25/07 BASE MGM D3","93,00","R$ 12,09"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE SB D5","1.188,00","R$ 154,44"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE MGM D5","200,00","R$ 26,00"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE BETE D5","1.863,00","R$ 242,19"
"25/07","SuperBet"," [24/07] DISP TOTAL 25/07 BASE NOVIBET D5","13.186,00","R$ 1.714,18"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE SB D1","184,00","R$ 23,92"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE MGM D1","126,00","R$ 16,38"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE VAIDEBET D1","207,00","R$ 26,91"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE NOVIBET D1","40,00","R$ 5,20"
"26/07","MGMBET","  [25/07] DISP TOTAL 26/07 BASE SB D3","148,00","R$ 19,24"
"26/07","MGMBET","  [25/07] DISP TOTAL 26/07 BASE MGM D3","127,00","R$ 16,51"
"26/07","SuperBet","  [25/07] DISP TOTAL 26/07 BASE SB D5","386,00","R$ 50,18"
"27/07","SuperBet","  [27/07] DISP TOTAL 27/07 BASE SB D1","212,00","R$ 27,56"
"27/07","SuperBet","  [27/07] DISP TOTAL 27/07 BASE MGM D1","104,00","R$ 13,52"
"27/07","SuperBet","  [27/07] DISP TOTAL 27/07 BASE VAIDEBET D1","1.247,00","R$ 162,11"
"27/07","MGMBET","  [27/07] DISP TOTAL 27/07 BASE SB D3","127,00","R$ 16,51"
"27/07","MGMBET","[27/07] DISP TOTAL 27/07 BASE MGM D3","134,00","R$ 17,42"
"27/07","MGMBET","[27/07] DISP TOTAL 27/07 BASE VAIDEBET D3","355,00","R$ 46,15"
"27/07","SuperBet","[27/07] DISP TOTAL 27/07 BASE MGM D5","90,00","R$ 11,70"
"27/07","SuperBet","[27/07] DISP TOTAL 27/07 BASE SB D5","445,00","R$ 57,85"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE SB D3","172,00","R$ 22,36"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE MGM D3","112,00","R$ 14,56"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE NOVIBET D3","39,00","R$ 5,07"
"28/07","MGMBET","  [28/07] DISP TOTAL 28/07 BASE VAIDEBET D3","198,00","R$ 25,74"
"28/07","SuperBet","  [28/07] DISP TOTAL 28/07 BASE SB D5","143,00","R$ 18,59"
"28/07","SuperBet","  [28/07] DISP TOTAL 28/07 BASE MGM D5","120,00","R$ 15,60"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE SB D1","168,00","R$ 21,84"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE MGM D1","206,00","R$ 26,78"
"29/07","MGMBET","[28/07] DISP TOTAL 29/07 BASE SB D3","192,00","R$ 24,96"
"29/07","MGMBET","[28/07] DISP TOTAL 29/07 BASE MGM D3","92,00","R$ 11,96"
"29/07","MGMBET","[28/07] DISP TOTAL 29/07 BASE VAIDEBET D3","579,00","R$ 75,27"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE SB D5","122,00","R$ 15,86"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE MGM D5","129,00","R$ 16,77"
"29/07","SuperBet","[28/07] DISP TOTAL 29/07 BASE VAIDEBET D5","348,00","R$ 45,24"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE SB D1","57,00","R$ 7,41"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE MGM D1","157,00","R$ 20,41"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE SB D5","158,00","R$ 20,54"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE MGM D5","95,00","R$ 12,35"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE VAIDEBET D5","187,00","R$ 24,31"
"30/07","SuperBet","[29/07] DISP TOTAL 30/07 BASE NOVIBET D5","36,00","R$ 4,68"
"30/07","MGMBET"," [29/07] DISP TOTAL 30/07 BOLAO MGM","24.158,00","R$ 3.140,54"
