DATA,CASA,UTM/PID,PROMOÇÃO/OBJETIVO,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CLIQUES,TX LIDAS,TX CLIQUES,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA 
16/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - D3 12/06 BASE MGM,"R$ 197,61","4,77","403,00","223,00",,"55,33%","0,00%","R$ 52,39","0,00%","0,25%",,"R$ 52,39","0,00","1,00","1,00",
16/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - D5 08/06 BASE SUPER,"R$ 622,21","5,87","983,00","558,00",,"56,77%","0,00%","R$ 127,79","0,51%","0,31%","R$ 25,56","R$ 42,60","5,00","3,00","3,00",
16/06,SuperBet,pilhado-disp-traf-mgm-d7,ODD 100 - D7 08/06 BASE MGM,"R$ 581,00","4,44","1.300,00","790,00",,"60,77%","0,00%","R$ 169,00","0,15%","0,23%","R$ 84,50","R$ 56,33","2,00","3,00","3,00",
16/06,SuperBet,pilhado-disp-traf-esp-d7,ODD 100 - D7 08/06 BASE ESPORTIVA,"R$ 0,66","1,00","1.918,00","954,00",,"49,74%","0,00%","R$ 249,34","0,05%","0,05%","R$ 249,34","R$ 249,34","1,00","1,00","1,00",
17/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - D1 16/06 BASE SUPER,"R$ 1.212,25","5,21","1.151,00","727,00",,"63,16%","0,00%","R$ 287,75","1,22%","0,52%","R$ 20,55","R$ 47,96","14,00","6,00","6,00",
17/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 300 - D3 16/06 BASE MGM,"R$ 1.159,25","2,96","2.363,00","1.447,00",,"61,24%","0,00%","R$ 590,75","0,55%","0,30%","R$ 45,44","R$ 84,39","13,00","9,00","9,00",
17/06,SuperBet,pilhado-disp-traf-esp-d3,ODD 300 - D3 16/06 BASE ESP,"R$ 5.234,50","3,08","10.062,00","6.042,00",,"60,05%","0,00%","R$ 2.515,50","0,58%","0,31%","R$ 43,37","R$ 81,15","58,00","32,00","32,00",
17/06,SuperBet,pilhado-disp-traf-bete-d3,ODD 300 - D3 16/06 BASE BETE,"R$ 1.921,75","1,54","14.313,00","8.637,00",,"60,34%","0,00%","R$ 3.578,25","0,48%","0,15%","R$ 52,62","R$ 162,65","68,00","23,00","23,00",
17/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - D5 16/06 BASE SUPER,"R$ 62,75","1,34","749,00","441,00",,"58,88%","0,00%","R$ 187,25","0,13%","0,13%","R$ 187,25","R$ 187,25","1,00","1,00","1,00",
17/06,SuperBet,pilhado-disp-traf-mgm-d7,ODD 100 - D7 16/06 BASE MGM,"-R$ 20,75","0,94","1.283,00","751,00",,"58,53%","0,00%","R$ 320,75","0,23%","0,08%","R$ 106,92","R$ 320,75","3,00","1,00","1,00",
17/06,SuperBet,pilhado-disp-traf-esp-d7,ODD 100 - D7 16/06 BASE ESP,"-R$ 473,25","0,00","1.893,00","921,00",,"48,65%","0,00%","R$ 473,25","0,00%","0,00%",,,"0,00","0,00","0,00",
18/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - D1 17/06 BASE SUPER,"R$ 3.378,06","28,70","938,00","619,00",,"65,99%","0,00%","R$ 121,94","1,92%","1,07%","R$ 6,77","R$ 12,19","18,00","10,00","7,00",
18/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 300 - D3 17/06 BASE MGM,"R$ 2.091,28","6,12","3.144,00","1.861,00",,"59,19%","0,00%","R$ 408,72","1,21%","0,35%","R$ 10,76","R$ 37,16","39,00","11,00","5,00",
